year,month,eur,usd,thb
2013,1,,,
2013,2,,,
2013,3,,,
2013,4,,,
2013,5,,,
2013,6,,,
2013,7,,,
2013,8,,,
2013,9,92.0,,
2013,10,200.0,263.7,8675.73
2013,11,828.5,1079.9,35528.71
2013,12,547.9,753.9,24803.31
2014,1,590.0,802.5,26402.25
2014,2,487.7,680.9,22401.61
2014,3,325.9,443.6,14594.44
2014,4,323.6,448.3,14749.07
2014,5,471.4,650.4,21398.16
2014,6,471.0,646.5,21269.85
2014,7,434.0,579.0,19049.1
2014,8,360.1,524.7,17262.63
2014,9,305.2,390.0,12831.0
2014,10,270.2,328.2,10797.78
2014,11,303.2,380.0,12502.0
2014,12,266.5,319.1,10498.39
2015,1,201.7,228.8,8236.8
2015,2,245.6,274.7,9889.2
2015,3,229.4,242.9,8744.4
2015,4,204.0,227.3,8182.8
2015,5,201.1,227.0,8172.0
2015,6,233.7,258.1,9291.6
2015,7,259.3,281.0,10116.0
2015,8,205.0,230.0,8280.0
2015,9,211.4,236.0,8496.0
2015,10,372.0,408.9,14720.4
2015,11,339.2,358.6,12909.6
2015,12,399.3,429.9,15476.4
2016,1,334.5,368.1,13177.98
2016,2,387.0,421.1,15075.38
2016,3,371.1,423.5,15161.3
2016,4,390.6,447.8,16031.24
2016,5,478.9,535.5,19170.9
2016,6,614.3,677.1,24240.18
2016,7,509.8,569.8,20398.84
2016,8,514.2,574.2,20556.36
2016,9,550.4,614.9,22013.42
2016,10,669.3,747.0,26742.6
2016,11,701.8,742.3,26574.34
2016,12,1069.6,1133.2,40568.56
2017,1,919.8,988.7,32231.62
2017,2,1154.3,1225.0,39935.0
2017,3,1060.0,1138.1,37102.06
2017,4,1377.3,1513.5,49340.1
2017,5,2047.9,2291.3,74696.38
2017,6,2294.3,2611.3,85128.38
2017,7,2277.7,2700.8,88046.08
2017,8,3903.9,4641.6,151316.16
2017,9,3594.9,4223.6,137689.36
2017,10,5799.9,6741.9,219785.94
2017,11,11450.0,13737.7,447849.02
2017,12,12660.0,15185.7,495053.82
2018,1,8147.8,10101.6,329312.16
2018,2,8430.0,10310.0,336106.0
2018,3,5528.2,6790.4,221367.04
2018,4,7695.6,9217.1,300477.46
2018,5,6499.3,7659.8,249709.48
2018,6,5649.0,6584.2,214644.92
2018,7,6499.7,7604.1,247893.66
2018,8,5752.9,6686.6,217983.16
2018,9,5621.3,6463.9,210723.14
2018,10,5579.0,6307.5,205624.5
2018,11,3259.3,3694.3,120434.18
2018,12,3443.8,3886.2,126690.12
2019,1,2966.0,3367.4,101022.0
2019,2,3402.8,3851.7,115551.0
2019,3,4423.9,4972.2,149166.0
2019,4,4755.9,5323.3,159699.0
2019,5,6939.2,7787.1,233613.0
2019,6,10609.8,11979.8,359394.0
2019,7,9100.4,10090.1,302703.0
2019,8,9584.4,10584.9,317547.0
2019,9,7658.3,8382.3,251469.0
2019,10,8447.3,9338.4,280152.0
2019,11,6493.2,7190.5,215715.0
2019,12,6401.1,7174.4,215232.0
2020,1,8729.9,9616.2,288486.0
2020,2,7872.7,8758.7,262761.0
2020,3,6076.9,6662.9,199887.0
2020,4,8502.3,9166.1,274983.0
2020,5,8601.1,9664.1,289923.0
2020,6,8216.3,9234.5,277035.0
2020,7,9906.8,11746.0,352380.0
2020,8,9639.2,11396.9,341907.0
2020,9,9189.9,10774.9,323247.0
2020,10,12065.0,14163.3,424899.0
2020,11,15873.2,19231.4,576942.0
2020,12,29789.0,36876.7,1106301.0
2021,1,31249.9,37670.9,1258208.06
2021,2,41876.6,50400.0,1683360.0
2021,3,50008.3,58786.2,1963459.08
2021,4,47742.4,57497.1,1920403.14
2021,5,30800.0,37565.3,1254681.02
2021,6,29580.4,35046.2,1170543.08
2021,7,33577.3,39749.0,1327616.6
2021,8,41196.9,48872.2,1632331.48
2021,9,47800.2,55350.2,1848696.68
2021,10,54182.9,62942.9,2102292.86
2021,11,50601.1,57237.9,1911745.86
2021,12,38437.5,43410.0,1449894.0
2022,1,32675.8,36903.3,1276854.18
2022,2,39499.9,43922.5,1519718.5
2022,3,39627.7,43179.4,1494007.24
2022,4,37354.3,39682.8,1373024.88
2022,5,27967.8,29790.0,1030734.0
2022,6,20160.0,20542.7,710777.42
2022,7,22471.5,22827.9,789845.34
2022,8,19975.4,20052.6,693819.96
2022,9,20342.9,20162.7,697629.42
2022,10,20527.5,20153.5,697311.1
2022,11,16473.8,17166.9,593974.74
2022,12,15879.5,16848.9,582971.94
2023,1,21544.1,23732.6,809281.66
2023,2,22153.6,23634.9,805950.09
2023,3,25845.6,28179.1,960907.31
2023,4,26234.6,29033.3,990035.53
2023,5,25466.0,27216.2,928072.42
2023,6,28101.9,30502.8,1040145.48
2023,7,26578.4,29152.3,994093.43
2023,8,24011.4,25763.8,878545.58
2023,9,26456.9,27800.0,947980.0
2023,10,33481.8,35441.7,1208561.97
2023,11,40662.1,43761.7,1492273.97
2023,12,39303.2,42849.5,1461167.95
2024,1,39405.7,42551.7,1446757.8
2024,2,60642.5,66098.9,2247362.6
2024,3,60960.1,65991.5,2243711.0
2024,4,54336.5,58272.2,1981254.8
2024,5,65347.2,71103.6,2417522.4
2024,6,55750.1,60146.6,2044984.4
2024,7,59725.1,64638.1,2197695.4
2024,8,53380.0,58972.3,2005058.2
2024,9,56874.6,63338.5,2153509.0
2024,10,64531.9,70250.1,2388503.4
2024,11,91134.5,96456.2,3279510.8
2024,12,90106.4,93370.9,3174610.6
2025,1,98888.8,102406.0,3328195.0
2025,2,81334.0,84309.2,2740049.0
2025,3,76292.4,82523.0,2681997.5
2025,4,83196.8,94205.4,3061675.5
2025,5,92275.3,104662.0,3401515.0
2025,6,90961.9,107120.3,3481409.75
2025,7,101384.8,115762.3,3762274.75
2025,8,92600.0,108250.0,3518125.0
2025,9,97196.9,113995.0,3704837.5
2025,10,94881.4,109552.7,3560462.75
2025,11,77940.1,90373.9,2937151.75
2025,12,74500.1,87500.1,2843753.25
2026,1,66548.4,78648.4,2556073.0
2026,2,56786.1,66985.6,2177032.0
2026,3,58968.9,68219.7,2217140.25
2026,4,65066.3,76313.0,2480172.5
2026,5,63167.3,73570.0,2391025.0
2026,6,51298.0,58531.9,1902286.75
